CheckoutYear_CheckoutMonth,Checkouts,Title,Author,Subjects,Publisher,PublicationYear
2010-12-01,11,Go tell it on the mountain / James Baldwin.,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction","Dell,","1981, c1953."
2013-05-01,14,Giovanni's room / James Baldwin.,"Baldwin, James, 1924-1987","Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Delta Trade Paperbacks,",2000
2013-06-01,12,Giovanni's room / James Baldwin.,"Baldwin, James, 1924-1987","Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Delta Trade Paperbacks,",2000
2013-02-01,10,Giovanni's room / James Baldwin.,"Baldwin, James, 1924-1987","Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Delta Trade Paperbacks,",2000
2013-08-01,10,Giovanni's room / James Baldwin.,"Baldwin, James, 1924-1987","Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Delta Trade Paperbacks,",2000
2013-10-01,10,Giovanni's room / James Baldwin.,"Baldwin, James, 1924-1987","Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Delta Trade Paperbacks,",2000
2014-01-01,10,Giovanni's room / James Baldwin.,"Baldwin, James, 1924-1987","Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Delta Trade Paperbacks,",2000
2015-07-01,14,The fire next time / James Baldwin.,"Baldwin, James, 1924-1987","African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
2015-01-01,13,The fire next time / James Baldwin.,"Baldwin, James, 1924-1987","African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
2015-09-01,12,The fire next time / James Baldwin.,"Baldwin, James, 1924-1987","African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
2015-11-01,12,The fire next time / James Baldwin.,"Baldwin, James, 1924-1987","African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
2015-01-01,11,Giovanni's room / James Baldwin.,"Baldwin, James, 1924-1987","Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Delta Trade Paperbacks,",2000
2015-10-01,11,The fire next time / James Baldwin.,"Baldwin, James, 1924-1987","African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
2015-12-01,10,The fire next time / James Baldwin.,"Baldwin, James, 1924-1987","African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
